,name,gae,cuda,seed,gamma,device,gym_id,ent_coef,exp_name,kle_stop,norm_adv,norm_obs,obs_clip,rew_clip,value_lr,anneal_lr,clip_coef,policy_lr,prod_mode,target_kl,batch_size,clip_vloss,gae_lambda,kle_rollback,norm_returns,wandb_entity,weights_init,capture_video,max_grad_norm,update_epochs,episode_length,minibatch_size,pol_layer_norm,total_timesteps,features_turned_on,wandb_project_name,torch_deterministic,invalid_action_penalty,losses/entropy,charts/policy_learning_rate,stats/num_invalid_action_ownership,video.0,losses/value_loss,stats/num_invalid_action_busy_unit,charts/value_learning_rate,evals/charts/episode_reward,stats/num_invalid_action_null,evals/stats/num_invalid_action_null,evals/stats/num_invalid_action_ownership,_wandb,_timestamp,charts/episode_reward,charts/episode_reward/ResourceGatherRewardFunction,losses/approx_kl,losses/policy_loss,evals/stats/num_invalid_action_busy_unit,_step,_runtime,global_step,first_learned_timestep,first_reward_timestep,evals_first_learned_timestep,evals_first_reward_timestep
25,MicrortsMining10x10F9-v0__Penalty__4__1670635881,True,True,4,0.99,cuda:1,MicrortsMining10x10F9-v0,0.015,Penalty--0.01,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,-0.01,1.842720627784729,0,6.0,"{'path': 'media/videos/video.0_14_6170e8ed29e64634f508.mp4', 'size': 38680, '_type': 'video-file', 'sha256': '6170e8ed29e64634f508a7fdb4f56fcbf58cbedef55dcdf5d939b36a16f1883d'}",3.977425575256348,0.1,0,,114.1,,,{'runtime': 5095},1670640977.3690178,29.88888888888889,,2.6218927814625204e-05,-0.07755587995052338,,5393,5094,1001472,0.11404,0.003648,,
26,MicrortsMining10x10F9-v0__On-PIAM__4__1670633413,True,True,4,0.99,cpu,MicrortsMining10x10F9-v0,0.015,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0750998258590698,0,0.0,"{'size': 26323, '_type': 'video-file', 'sha256': '5288136239bbb5b01832095b78478f37a868174d5f14901eaaa987062b6963c7', 'path': 'media/videos/video.0_19_5288136239bbb5b01832.mp4'}",5.49910831451416,7.9,0,0.0,0.8,177.55,22.36000003814697,{'runtime': 8611},1670642024.7940483,36.0,400.0,0.00013422530191746772,0.010468480177223682,0.0,5398,8609,1001472,0.039912,0.0002,0.0,0.0002
27,MicrortsMining4x4F9-v0__Off-PIAM__4__1670629772,True,True,4,0.99,cpu,MicrortsMining4x4F9-v0,0.01,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0482001304626465,0,0.0,"{'path': 'media/videos/video.0_19_416c40026ce4d2a29f5a.mp4', 'size': 43472, '_type': 'video-file', 'sha256': '416c40026ce4d2a29f5abd3b889a047784b3629a206f7d52d3abd7e00ad3ed4a'}",4.627079963684082,24.2,0,40.0,0.0,11.109999942779542,0.8900000035762787,{'runtime': 13770},1670643542.8333037,40.0,400.0,0.012781375367194415,-0.03924834355711937,15.379999923706055,5398,13769,1001472,0.04096,0.0004,0.065536,0.0004
28,MicrortsMining4x4F9-v0__On-PIAM__4__1670621948,True,True,4,0.99,cpu,MicrortsMining4x4F9-v0,0.01,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0463436841964722,0,0.0,"{'path': 'media/videos/video.0_19_182cdac7a31d7ea72118.mp4', 'size': 29077, '_type': 'video-file', 'sha256': '182cdac7a31d7ea721181d70ed91deb55a5df58dd52a4501e2ab44ad9bcebc05'}",5.602831840515137,18.2,0,3.0,0.0,21.440000152587892,171.2699981689453,{'runtime': 11441},1670633389.8146412,36.4,399.0,9.016311105369823e-06,0.008836091496050358,0.0,5398,11439,1001472,0.03272,0.0004,0.0,0.0004
29,MicrortsMining24x24F9-v0__Off-PIAM__3__1670619970,True,True,3,0.99,cpu,MicrortsMining24x24F9-v0,0.03,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.136690616607666,0,0.0,"{'path': 'media/videos/video.0_19_34b94ad663d8ddebd1f4.mp4', 'size': 43264, '_type': 'video-file', 'sha256': '34b94ad663d8ddebd1f4be7bc4e6a889d21482d735eb4b9b0082ca97ad259a1d'}",5.934899806976318,4.2,0,35.70000076293945,0.0,21.280000019073487,0.010000000149011612,{'runtime': 9780},1670629751.350557,35.0,351.0,0.021277640573680402,0.03454176336526871,4.349999964237213,5398,9779,1001472,0.187168,0.0002,0.0,0.0002
30,MicrortsMining24x24F9-v0__On-PIAM__3__1670611574,True,True,3,0.99,cpu,MicrortsMining24x24F9-v0,0.03,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.1454426050186155,0,0.0,"{'_type': 'video-file', 'sha256': '2918a2516094afff766a3c9fc171aa9f6e6e15304e901c9da169dd74be4b95ee', 'path': 'media/videos/video.0_19_2918a2516094afff766a.mp4', 'size': 35708}",5.608279705047607,13.4,0,0.4000000059604645,0.0,198.11999969482423,1.0200000047683715,{'runtime': 10352},1670621927.6407084,31.7,351.0,1.6019927170418668e-05,0.019793078303337097,0.0,5398,10351,1001472,0.076376,0.0002,0.0,0.0002
31,MicrortsMining16x16F9-v0__Off-PIAM__3__1670609755,True,True,3,0.99,cpu,MicrortsMining16x16F9-v0,0.02,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0909074544906616,0,0.0,"{'path': 'media/videos/video.0_19_8c9d4253a32c9b1be6e2.mp4', 'size': 41854, '_type': 'video-file', 'sha256': '8c9d4253a32c9b1be6e286738af0ad6c25df830a4f9a08817d8151e7ee4e8a2d'}",3.809494018554687,1.1,0,39.0,0.0,9.940000009536742,0.32000000327825545,{'runtime': 10190},1670619945.5824769,39.7,397.0,0.011577708832919597,-0.04157664626836777,2.299999991059303,5398,10188,1001472,0.080872,0.0006,0.11264,0.0006
32,MicrortsMining16x16F9-v0__On-PIAM__3__1670603148,True,True,3,0.99,cpu,MicrortsMining16x16F9-v0,0.02,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0930755138397217,0,0.0,"{'path': 'media/videos/video.0_19_ddbb05013a1c10caad5d.mp4', 'size': 30768, '_type': 'video-file', 'sha256': 'ddbb05013a1c10caad5daae2fa3252024887644809ca9a6bb2b1b75e10a9955f'}",4.3513970375061035,1.5,0,0.4000000059604645,0.0,193.20999908447266,6.440000057220459,{'runtime': 8404},1670611553.1205735,34.2,379.0,4.044004772367771e-05,-0.03497886657714844,0.0,5398,8403,1001472,0.050352,0.0006,0.0,0.0006
33,MicrortsMining10x10F9-v0__Off-PIAM__3__1670601089,True,True,3,0.99,cpu,MicrortsMining10x10F9-v0,0.015,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.070134162902832,0,0.0,"{'path': 'media/videos/video.0_19_16d3d1d67746288f0b99.mp4', 'size': 39736, '_type': 'video-file', 'sha256': '16d3d1d67746288f0b991ee5e58f72b376864352c4f23b5611e200519b831729'}",4.810420989990234,1.2,0,39.79999923706055,0.0,11.960000038146973,1.9099999904632567,{'runtime': 8641},1670609730.9951532,39.9,399.0,0.014734753221273423,0.029296644032001495,1.9399999856948853,5398,8639,1001472,0.068584,0.0002,0.37888,0.0002
34,MicrortsMining10x10F9-v0__On-PIAM__3__1670596031,True,True,3,0.99,cpu,MicrortsMining10x10F9-v0,0.015,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0875142812728882,0,0.0,"{'path': 'media/videos/video.0_19_db42a92a9a433a9569b3.mp4', 'size': 26670, '_type': 'video-file', 'sha256': 'db42a92a9a433a9569b30f932a4d94d2a0345462c01af8bf07602a986b00267e'}",4.522098541259766,6.7,0,0.10000000149011612,0.4,195.61999969482423,3.4100000143051146,{'runtime': 7093},1670603125.5292883,35.7,397.0,9.913224293995881e-05,-0.02096787840127945,0.0,5398,7093,1001472,0.046456,0.0002,0.0,0.0002
35,MicrortsMining4x4F9-v0__Off-PIAM__3__1670590458,True,True,3,0.99,cpu,MicrortsMining4x4F9-v0,0.01,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0324490070343018,0,0.0,"{'path': 'media/videos/video.0_19_ef2b7d890f49f4e112bd.mp4', 'size': 42167, '_type': 'video-file', 'sha256': 'ef2b7d890f49f4e112bd67097e9fb0082bdac7659f0055b071a5f37864b65add'}",6.279314994812012,24.5,0,39.70000076293945,0.0,9.709999942779541,2.540000009536743,{'runtime': 10608},1670601067.0915742,40.0,400.0,0.012886160239577293,0.07529332488775253,16.11000003814697,5398,10607,1001472,0.054048,0.0002,0.094208,0.0002
36,MicrortsMining4x4F9-v0__On-PIAM__3__1670584969,True,True,3,0.99,cpu,MicrortsMining4x4F9-v0,0.01,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0136550664901731,0,0.0,"{'path': 'media/videos/video.0_19_dbdcda0eb81deb04e91b.mp4', 'size': 36893, '_type': 'video-file', 'sha256': 'dbdcda0eb81deb04e91b2f894f35d07c98245737a6887780c0fd61e3caed4b69'}",4.947573184967041,9.2,0,8.100000381469727,0.0,121.96999969482422,55.88999977111816,{'runtime': 11038},1670596007.9238455,36.2,393.0,5.810234679302084e-05,0.014970552176237106,0.0,5398,11036,1001472,0.033368,0.0002,0.0,0.0002
37,MicrortsMining24x24F9-v0__Off-PIAM__2__1670580283,True,True,2,0.99,cpu,MicrortsMining24x24F9-v0,0.03,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.11810302734375,0,0.0,"{'size': 44523, '_type': 'video-file', 'sha256': '6efc7b4a2f8a53b5fc3a19ca2b991776de57548b33e2330e91046837d5105de0', 'path': 'media/videos/video.0_19_6efc7b4a2f8a53b5fc3a.mp4'}",3.410510540008545,10.0,0,34.099998474121094,0.1,14.0,0.010000000149011612,{'runtime': 10153},1670590438.3508725,35.1,350.0,0.018657243810594082,-0.12420809268951416,7.519999980926514,5398,10153,1001472,0.136368,0.0002,0.0,0.0002
38,MicrortsMining24x24F9-v0__On-PIAM__2__1670574633,True,True,2,0.99,cpu,MicrortsMining24x24F9-v0,0.03,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.1360130310058594,0,0.0,"{'path': 'media/videos/video.0_19_d6ee8415b695ec847a11.mp4', 'size': 35281, '_type': 'video-file', 'sha256': 'd6ee8415b695ec847a110e437eb02c25640d1c8a6edcefa0c4fac58cf0dc25a4'}",5.031617164611816,4.9,0,0.0,0.0,198.18999786376952,1.6899999856948853,{'runtime': 10309},1670584944.5190425,32.5,362.0,3.066844997192675e-05,-0.07518792897462845,0.0,5398,10309,1001472,0.059144,0.0002,0.0,0.0002
39,MicrortsMining16x16F9-v0__Off-PIAM__2__1670570092,True,True,2,0.99,cpu,MicrortsMining16x16F9-v0,0.02,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0943129062652588,0,0.0,"{'path': 'media/videos/video.0_19_3caf135f0840d676ba87.mp4', 'size': 41557, '_type': 'video-file', 'sha256': '3caf135f0840d676ba875458292bfb4ccca2e57891635c3a33735a02a79254c9'}",5.118743896484375,4.1,0,39.400001525878906,0.0,10.810000038146972,0.8699999928474427,{'runtime': 10169},1670580262.98883,39.7,397.0,0.015640544053167105,0.004603082314133644,1.9400000095367431,5398,10168,1001472,0.125928,0.0002,0.415744,0.0002
40,MicrortsMining16x16F9-v0__On-PIAM__2__1670565788,True,True,2,0.99,cpu,MicrortsMining16x16F9-v0,0.02,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.1456578969955444,0,0.0,"{'path': 'media/videos/video.0_19_05fe5f939976299800b1.mp4', 'size': 29765, '_type': 'video-file', 'sha256': '05fe5f939976299800b10c49ccea7be606d429b19e237965b929f397d9a0ba09'}",4.54072380065918,17.5,0,0.20000000298023224,0.4,196.9200012207031,1.9100000143051148,{'runtime': 8823},1670574611.9120786,30.5,339.0,9.811059871935867e-05,-0.11214639246463776,0.0,5398,8822,1001472,0.066136,0.0002,0.0,0.0002
41,MicrortsMining10x10F9-v0__Off-PIAM__2__1670561624,True,True,2,0.99,cpu,MicrortsMining10x10F9-v0,0.015,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0745060443878174,0,0.0,"{'size': 39108, '_type': 'video-file', 'sha256': '4325c3496cd15730dc262eed0eb7ef919c9a0640da4b7e28a955c66e4a7dc07b', 'path': 'media/videos/video.0_19_4325c3496cd15730dc26.mp4'}",4.612486362457275,2.0,0,38.70000076293945,0.0,6.8,0.9,{'runtime': 8448},1670570072.8039386,39.4,397.0,0.007932033622637391,-0.01697084866464138,1.509999978542328,5398,8446,1001472,0.189416,0.0004,0.520192,0.0004
42,MicrortsMining10x10F9-v0__On-PIAM__2__1670558384,True,True,2,0.99,cpu,MicrortsMining10x10F9-v0,0.015,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.096803069114685,0,0.0,"{'path': 'media/videos/video.0_19_5288136239bbb5b01832.mp4', 'size': 26323, '_type': 'video-file', 'sha256': '5288136239bbb5b01832095b78478f37a868174d5f14901eaaa987062b6963c7'}",4.111252784729004,8.6,0,0.0,0.0,188.27999877929688,11.219999980926513,{'runtime': 7379},1670565766.6063924,34.4,380.0,7.319254350477423e-05,-0.050041720271110535,0.0,5398,7379,1001472,0.0514,0.0004,0.0,0.0004
43,MicrortsMining24x24F9-v0__Penalty__4__1670552422,True,True,4,0.99,cuda:0,MicrortsMining24x24F9-v0,0.03,Penalty--0.1,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,-0.1,2.676388740539551,0,2.2,"{'path': 'media/videos/video.0_14_d6ee8415b695ec847a11.mp4', 'size': 35281, '_type': 'video-file', 'sha256': 'd6ee8415b695ec847a110e437eb02c25640d1c8a6edcefa0c4fac58cf0dc25a4'}",0.6115905046463013,0.7,0,,188.0,,,{'runtime': 5623},1670558049.491758,0.4444444444444444,,5.388773279264569e-05,0.016058344393968582,,5393,5626,1001472,0.0,0.010192,,
44,MicrortsMining4x4F9-v0__Off-PIAM__2__1670548683,True,True,2,0.99,cpu,MicrortsMining4x4F9-v0,0.01,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.0367172956466677,0,0.0,"{'path': 'media/videos/video.0_19_81bf76ba00d861282b73.mp4', 'size': 40565, '_type': 'video-file', 'sha256': '81bf76ba00d861282b7346c7b7cd9105e65ac9d230e5f25fbfa8cfbe264444c4'}",6.439840793609619,23.3,0,39.900001525878906,0.2,7.87999997138977,0.910000005364418,{'runtime': 12913},1670561600.340561,40.0,400.0,0.011114992201328278,0.04083353281021118,17.85999984741211,5398,12915,1001472,0.046656,0.0006,0.067584,0.0006
45,MicrortsMining16x16F9-v0__Penalty__4__1670546843,True,True,4,0.99,cuda:0,MicrortsMining16x16F9-v0,0.02,Penalty--0.1,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,-0.1,1.983903169631958,0,3.0,"{'_type': 'video-file', 'sha256': '966be3bafd557f25b0b1a7231c25f0ad7626d4c6f73cba738a84e1d07da704fa', 'path': 'media/videos/video.0_14_966be3bafd557f25b0b1.mp4', 'size': 40383}",2.7640528678894043,1.1,0,,110.9,,,{'runtime': 5555},1670552400.8943124,28.88888888888889,,3.567463718354702e-05,-0.10420428216457368,,5393,5555,1001472,0.0,0.024128,,
46,MicrortsMining10x10F9-v0__Penalty__4__1670540970,True,True,4,0.99,cuda:0,MicrortsMining10x10F9-v0,0.015,Penalty--0.1,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,-0.1,1.6481183767318726,0,0.0,"{'_type': 'video-file', 'sha256': '5288136239bbb5b01832095b78478f37a868174d5f14901eaaa987062b6963c7', 'path': 'media/videos/video.0_14_5288136239bbb5b01832.mp4', 'size': 26323}",4.8878071368108074e-08,0.0,0,,0.0,,,{'runtime': 5848},1670546820.0804105,0.0,,1.4486454892903566e-05,0.11647766828536989,,5393,5848,1001472,0.0,0.065288,,
47,MicrortsMining4x4F9-v0__On-PIAM__2__1670540871,True,True,2,0.99,cpu,MicrortsMining4x4F9-v0,0.01,On-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.046782612800598,0,0.3,"{'_type': 'video-file', 'sha256': '9202ab2e5fa07010c8212d213a4a9cce10d9472037178785ecff3aaa77877d84', 'path': 'media/videos/video.0_19_9202ab2e5fa07010c821.mp4', 'size': 26718}",4.456494331359863,23.5,0,1.7999999523162842,0.1,11.689999961853028,183.79999847412108,{'runtime': 17489},1670558361.3718991,35.9,399.0,-1.5970878484949937e-05,-0.04244276508688927,0.0,5398,17489,1001472,0.037064,0.0006,0.0,0.0006
48,MicrortsMining4x4F9-v0__Penalty__4__1670535410,True,True,4,0.99,cuda:0,MicrortsMining4x4F9-v0,0.01,Penalty--0.1,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,-0.1,1.428095817565918,0,0.0,"{'size': 25124, '_type': 'video-file', 'sha256': '79c720006488d6913116811bb2f1034d34fcfdbbd91034ec8569d0c2508f9e48', 'path': 'media/videos/video.0_14_79c720006488d6913116.mp4'}",3.6722742180472785e-08,0.0,0,,0.0,,,{'runtime': 5535},1670540946.4752054,0.0,,1.1418276699259877e-05,0.13256411254405975,,5393,5534,1001472,0.0,0.0008,,
49,MicrortsMining4x4F9-v0__Penalty__4__1670534503,True,True,4,0.99,cuda:1,MicrortsMining4x4F9-v0,0.01,Penalty--0.01,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,-0.01,1.411777138710022,0,18.3,"{'path': 'media/videos/video.0_14_2db51a01fb1937d8481d.mp4', 'size': 41311, '_type': 'video-file', 'sha256': '2db51a01fb1937d8481dc2522dbdeaa1f160cc37eaebd3765c1ac1213a8d8b8b'}",5.754895210266113,1.4,0,,61.3,,,{'runtime': 5425},1670539930.3068414,39.888888888888886,,3.264777769800276e-05,-0.005508089438080788,,5393,5425,1001472,0.086616,0.0008,,
50,MicrortsMining24x24F9-v0__Off-PIAM__1__1670529343,True,True,1,0.99,cpu,MicrortsMining24x24F9-v0,0.03,Off-PIAM,False,True,True,10,10,0.0003,True,0.2,0.0003,True,0.015,2048,True,0.97,False,False,,orthogonal,True,0.5,10,0,256,False,1000000,5,invalid-action-masking,True,,1.123124361038208,0,0.0,"{'path': 'media/videos/video.0_19_cfce59bc3fb02d27f12c.mp4', 'size': 46406, '_type': 'video-file', 'sha256': 'cfce59bc3fb02d27f12cf6b1f26f1be790f3c59cbfa29eb9a4508ccb4c9cf0f0'}",4.345510005950928,3.6,0,37.70000076293945,0.0,12.45,0.6899999991059304,{'runtime': 19314},1670548657.3073783,37.1,371.0,0.015461114794015884,-0.002365104854106903,4.8599999904632565,5398,19312,1001472,0.16444,0.0004,0.0,0.0004
